ID,Nombre,X,Y,Carga,Diametro,Instalacion,Ubicacion,SensorMaterial,SensorUbicacion,FuenteTipo1,FuenteNombre1,FuenteUbicacion1,FuenteTipo2,FuenteNombre2,FuenteUbicacion2
18,P. ARRIAGA,-99.1534166667,19.4386388889,0.22,48,2017,Calz. México Tacuba y Ponciano Arriaga Colonia Tabacalera C.P. 06030 Cuauhtémoc,Acero,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
19,TOLEDO,-99.1727,19.424275,0.528,48,2017,Calle Toledo y Paseo de la Reforma Colonia Juárez Alcaldía Cuauhtémoc C.P. 06600 Colonia Tabacalera C.P. 06030 Cuauhtémoc,Concreto,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
20,ATLIXCO,-99.1750888889,19.4116444444,0.21,32,2017,Calle Atlixco y Av. Michoacán  Colonia Condesa  Alcaldía Cuauhtémoc  C.P. 06140,Acero,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
21,SUR 69,-99.1302083333,19.4051666667,0.35,48,2017,Calle Sur 69 y Ventura F. Tena Colonia Asturias Alcaldía Cuauhtémoc C.P. 06850,Acero,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
22,DR. LAVISTA,-99.145625,19.423575,0.226,32,2017,Calle Dr. Lavista y Dr. Andrade Colonia Doctores Alcaldía Cuauhtémoc C.P. 06720,Concreto,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
23,ALUMINIO,-99.1113083333,19.4505416667,0.23,48,2017,Calle Aluminio y Sorpresa Colonia Asturias Alcaldía Cuauhtémoc C.P. 06850,Concreto,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
24,NORTE 17,-99.0962166667,19.4286027778,0.23,48,2017,Calle Norte 17 y Oriente 172 Colonia Moctezuma 2° sección Venustiano Carranza C.P.  15530,Concreto,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
25,ANTROPOLOGIA,-99.0884888889,19.4159,0.309,48,2017,Calle Antropología y Calz. Ignacio Zaragoza Colonia Federal Alcaldía Venustiano Carranza C.P. 15700,Concreto,Eje del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
26,F. SERVANDO,-99.1201861111,19.4221611111,0.409,36,2017,Av. Fray Servando y Congreso de la Unión Colonia El Parque Alcaldía Venustiano Carranza C.P. 15960,Concreto,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
27,CHURUBUSCO (PLUTARCO),-99.0992194444,19.396325,0.46,20,2017,Av. Churubusco y Plutarco Elías Calles Colonia Gabriel Ramos Millán Alcaldía Iztacalco C.P. 08730,Acero,Eje del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
