ID,Nombre,X,Y,Carga,Diametro,Instalacion,Ubicacion,SensorMaterial,SensorUbicacion,FuenteTipo1,FuenteNombre1,FuenteUbicacion1,FuenteTipo2,FuenteNombre2,FuenteUbicacion2
72,CORREO MAYOR,-99.1308111111,19.4262527778,0.28,12,2019,Av. Correo Mayor esq. San Jerónimo Colonia Centro Alcaldía Cuauhtémoc C.P. 06000,Acero,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
73,PASEO DE LA REFORMA,-99.1362222222,19.4465361111,0.225,32,2019,Av. P. de la Reforma y González Bocanegra Colonia Centro Alcaldía Cuauhtémoc  C.P.  06000,Acero,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
74,CIRCUITO INTERIOR,-99.1274666667,19.4613638889,0.195,48,2019,Av. Calz. de los Misterios y Cto. Interior Colonia Valle Gómez Alcaldía Cuauhtémoc  C.P. 15210,Acero,Eje del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
75,PLOMO,-99.1241833333,19.4571666667,0.265,48,2019,Av. Eje 1 Ote esquina Plomo Colonia Valle Gómez Alcaldía Cuauhtémoc C.P. 15210,Fierro Fundido,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
76,AHORRO POSTAL,-99.1425888889,19.3887694444,0.385,24,2019,Av. Isabel la Católica y Ahorro Postal Colonia Josefa O. de Domínguez  Alcaldía Benito Juárez C.P. 03430,Acero,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470
77,LAGO HURON,-99.1891305556,19.4561166667,0.265,20,2019,Lago Huron esquina Golfo de Adán Colonia Tacuba Alcaldía Miguel Hidalgo C.P. 11410,Acero,Lomo del tubo,Tanque,Tanque San Joaquín,Av. 19 de Febrero 6 Colonia Manuel Ávila Camacho Naucalpan de Juárez Estado de México C.P. 53910,,,
78,SANCTORUM,-99.2100805556,19.4555972222,0.3,48,2019,Calz. México Tacuba esq. General Arista Colonia Argentina Antigua  Alcaldía Miguel Hidalgo  C.P. 11270,s/d,s/d,Tanque,Tanques Aero Club,Campo Militar N° 1 Calzada San Esteban y Puerta N° 7 Colonia Residencia Militar Estado de México C.P 11600,,,
79,APATLACO,-99.1015277778,19.3798972222,0.35,36,2019,Av. Rio Churubusco y Canal de Apatlaco Colonia Los Picos VI B Alcaldía Iztapalapa C.P. 09420,Concreto,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
80,AQUILES SERDAN 2,-99.1874,19.48106,0.04,48,2021,Av. Reforma y Miguel Hidalgo Col. Centro de Azcapotzalco,s/d,s/d,Tanque,Tanques Aero Club,Campo Militar N° 1 Calzada San Esteban y Puerta N° 7 Colonia Residencia Militar Estado de México C.P 11600,,,
81,NORTE 35,-99.15522,19.48944,0.04,48,2021,Calle Norte 35 y Calle Poniente 128 Col. Sta. Cruz de las Salinas,s/d,s/d,Tanque,Tanque Chalmita,Calle Tlacaelel 1 Colonia Loma de la Palma  Alcaldía Gustavo A. Madero,Tanque,Tanque Aero Club,Campo Militar N° 1 Calzada San Esteban y Puerta N° 7 Colonia Residencia Militar Estado de México C.P 11600
82,DA VINCI,-99.1903,19.38145,0.04,20,2021,Av. Leonardo Da Vinci y Rembrandt Col. Sta. María Nonoalco,s/d,s/d,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,,,
83,E. REBSAMEN,-99.15905,19.39415,0.04,20,2021,Av. Enrique Rebsamen y Diagonal San Antonio Col. Narvarte Poniente,s/d,s/d,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
84,ANGEL URRAZA,-99.16664,19.38287,0.04,20,2021,Av. Ángel Urraza y Amores Col. Del Valle Centro,s/d,s/d,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
85,ROMERO DE TERREROS,-99.16865,19.39541,0.04,48,2021,Av. P. Romero de Terreros y Div. del Norte Col. Del Valle Norte,s/d,s/d,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470
86,VERTIZ,-99.15211,19.38645,0.04,36,2021,Av. Dr. José María Vértiz y C. Beistegui Col. Narvarte Poniente,s/d,s/d,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
87,CANAL NACIONAL,-99.10056,19.31845,0.04,56,2021,Av. Candelaria Pérez y María del Mar Col. Coapa Culhuacán CTM,s/d,s/d,Pozo,Pozos Tulyehualco,Sin descripción,,,
88,DR. MARQUEZ,-99.14738,19.41105,0.04,48,2021,Av. Dr. Márquez y Dr. José M. Vértiz Col. Doctores,s/d,s/d,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
89,LAGUNILLA,-99.13704,19.4464,0.04,56,2021,Av. Paseo de la Reforma y G. Bocanegra Col. Guerrero,s/d,s/d,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
90,CENTENARIO,-99.0939,19.50189,0.04,48,2021,Av. Centenario y  F.C. Hidalgo Col. Santiago Atzacoalco,s/d,s/d,Tanque,Tanque Santa Isabel,Av. Chiconautla y Privada Veracruz Colonia Santa Isabel Tola Alcaldía Gustavo A. Madero,,,
91,LA MEXICANA,-99.06748,19.44685,0.045,48,2021,Av. 602 y Av. 609 Col. San Juan de Aragón III Sección,s/d,s/d,Tanque,Tanque Santa Isabel,Av. Chiconautla y Privada Veracruz Colonia Santa Isabel Tola Alcaldía Gustavo A. Madero,,,
92,PONIENTE 112,-99.13569,19.48075,0.04,48,2021,Av. Poniente 112 y Calzada Vallejo Col. Magdalena de las Salinas,s/d,s/d,Tanque,Tanque Chalmita,Calle Tlacaelel 1 Colonia Loma de la Palma  Alcaldía Gustavo A. Madero,,,
93,CALLE 2,-99.0672,19.40777,0.04,36,2021,Av. Calle 2 y Xochimilco Col. Agrícola Pantitlán,s/d,s/d,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
94,CIRCUNVALACIÓN,-99.03319,19.35783,0.04,48,2021,Av. Venustiano Carranza y Emiliano Zapata Col. Sta. María Aztahuacán,s/d,s/d,Tanque,Tanque Cerro de la Estrella,Avenida Cinco de Mayo y Tezozómoc Colonia Pueblo Los Reyes Alcaldía Iztapalapa C.P. 09849,,,
95,TELECOMUNICACIONES,-99.04561,19.39021,0.04,20,2021,Av. Telecomunicaciones y C. Ignacio Zaragoza Col. Ejército Constitucionalista,s/d,s/d,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
96,LEGARIA 2,-99.18922,19.45947,0.04,48,2021,Av. Calz. México Tacuba y Aquiles Serdán Col. Tacuba,s/d,s/d,Tanque,Tanques Aero Club,Campo Militar N° 1 Calzada San Esteban y Puerta N° 7 Colonia Residencia Militar Estado de México C.P 11600,,,
97,ESCORPENA,-99.05986,19.30429,0.04,48,2021,Av. Escorpena y Av. Tláhuac Col. Los Olivos,s/d,s/d,Pozo,Pozos Tulyehualco,Sin descripción,,Tláhuac,
